Rank,Company Name,Number of Employees,"Change in 
Rank",Industry,Company Description,"Revenues
($millions)","Revenue 
Change","Profits
($millions)","Profit 
Change","Assets
($millions)","Market Value 
As of 3/31/21 ($m)"
462,ABM Industries,"114,000",-,Facility Management Company,"The Company Provides End-to-end Integrated Facilities Management Services To Thousands Of Commercial, Governmental, Industrial, Institutional, Residential, And Retail Client Facilities In Hundreds Of Cities, Primarily Throughout The United States.","$5,988",-7.90%,$0.30,-99.80%,"$3,777","$3,422"
463,Ingredion,"12,000",12,Food Company,"Ingredion Is A Leading Global Ingredients Solutions Company. They Produce Mainly Starch, Modified Starches And Starch Sugars As Glucose Syrup And High Fructose Syrup.","$5,987",-3.60%,$348.00,-15.70%,"$6,858","$6,035"
464,Chipotle Mexican Grill,"88,000",42,Restaurant Company,"Chipotle Mexican Grill, Inc. Is An American Chain Of Fast Casual Restaurants In The United States, United Kingdom, Canada, Germany, And France, Specializing In Tacos And Mission Burritos That Are Made To Order In Front Of The Customer.","$5,985",7.10%,$355.80,1.60%,"$5,983","$39,988"
465,Sinclair Broadcast Group,"11,600",157,Telecommunications,It Is A Diversified Media Company And Leading Provider Of Local Sports And News.,"$5,943",40.20%,"-$2,414.00",-5236.20%,"$13,382","$2,167"
466,LPL Financial Holdings,"4,756",37,Broker-dealer,Lpl Financial Holdings Is Considered The Largest Independent Broker-dealer In The United States.,"$5,872",4.40%,$472.60,-15.60%,"$6,524","$11,359"
467,Crown Castle International,"4,900",29,Real Estate Investment Trust Company,Crown Castle Is A Real Estate Investment Trust And Provider Of Shared Communications Infrastructure In The United States.,"$5,840",1.30%,"$1,056.00",22.80%,"$38,768","$74,392"
468,KLA,"10,600",120,Semiconductor Manufacturing Company,It Supplies Process Control And Yield Management Systems For The Semiconductor Industry And Other Related Nanoelectronics Industries.,"$5,806",27.10%,"$1,216.80",3.50%,"$9,280","$50,906"
469,Ameren,"9,183",19,Electric Services Company,"Ameren Corp. Is A Public Utility Holding Company, Which Engages In The Provision Of Electric And Natural Gas Services.","$5,794",-2.00%,$871.00,5.20%,"$32,030","$20,780"
470,KBR,"29,000",31,Engineering,"Kbr, Inc. Is An American Engineering, Procurement, And Construction Company.","$5,767",2.30%,-$72.00,-135.60%,"$5,705","$5,407"
471,Burlington Stores,"35,246",-47,Department Store,"Burlington, Is An Off-price Department Store Retailer, And A Division Of Burlington Coat Factory Warehouse Corporation With 740 Stores In 40 States And Puerto Rico, With Its Corporate Headquarters Located In Burlington Township, New Jersey.","$5,764",-20.90%,-$216.50,-146.50%,"$6,781","$19,836"
472,Olin,"8,000",9,Chemicals; Manufacturing,Olin Corporation Is A Global Manufacturer And Distributor Of Chemical Products And A Leading U.s. Manufacturer Of Ammunition.,"$5,758",-5.80%,-$969.90,-,"$8,271","$6,024"
473,CACI International,"22,900",76,Information Technology Company," Caci International Inc, Together With Its Subsidiaries, Provides Information Solutions And Services In North America And Internationally. ","$5,720",14.70%,$321.50,21.00%,"$5,543","$6,224"
474,Post Holdings,"10,200",25,Holding Company,"Post Holdings, Inc. Operates As A Consumer Packaged Goods Holding Company In The United States And Internationally. ","$5,699",0.30%,$0.80,-99.40%,"$12,147","$6,805"
475,Academy Sports and Outdoors,"16,500",-,Sportswear Company,"Academy is a leading full-line sporting goods and outdoor recreation retailer in the United States. Originally founded in 1938 as a family business in Texas, Academy has grown to 260 stores across 16 states.","$5,689",17.80%,$308.80,157.20%,"$4,385","$2,459"
476,Arconic,"13,400",-,Engineering Company,Arconic Corporation is an American industrial company specializing in lightweight metals engineering and manufacturing.,"$5,675",-,-$109.00,-,"$6,314","$2,793"
477,Celanese,"7,658",-7,Technology,"The Company Manufactures Plastic Polymer, Acetic Acid, Acetic Anhydride, Vinyl Acetate, And Polyvinyl Acetate.","$5,655",-10.20%,"$1,985.00",133.00%,"$10,909","$17,105"
478,Yum Brands,"38,000",27,Fast Food Company,"Yum! Brands, Inc. Is An American Fast Food Corporation. Yum! Operates The Brands Kfc, Pizza Hut, Taco Bell, The Habit Burger Grill, And Wingstreet Worldwide, Except In China, Where The Brands Are Operated By A Separate Company, Yum China.","$5,652",1.00%,$904.00,-30.10%,"$5,852","$32,460"
479,Fastenal,"20,365",46,Industrial Supplies Company,"Fastenal Is The Largest Fastener Distributor In North America. Shop Our Huge Selection Of Oem, Mro, Construction, Industrial, And Safety Products.","$5,647",5.90%,$859.10,8.60%,"$3,965","$28,878"
480,Nasdaq,"4,830",140,Financial Services Company,It Is A Multinational Financial Services Corporation That Owns And Operates The Nasdaq Stock Market In The United States And Eight European Stock Exchanges: The Armenia Securities,"$5,627",32.00%,$933.00,20.50%,"$17,979","$24,301"
481,Analog Devices,"15,900",6,Semiconductor Manufacturing Company,"Analog Devices, Inc., Also Known Simply As Analog, Is An American Multinational Semiconductor Company Specializing In Data Conversion, Signal Processing And Power Management Technology.","$5,603",-6.50%,"$1,220.80",-10.40%,"$21,469","$57,208"
482,McCormick,"13,000",41,Food Company,"Mccormick & Company Is A Global Food Company That Manufactures, Markets, And Distributes Spices, Seasoning Mixes, Condiments, And Other Flavoring Products For The Industrial, Restaurant, Institutional, And Home Markets.","$5,601",4.70%,$747.40,6.40%,"$12,090","$23,809"
483,Carvana,"10,400",168,Internet,"Carvana Is An Online Used Car Retailer Based In Tempe, Arizona. The Company Is Known For Its Multi-story Car Vending Machines, And In 2018 It Was Reported To Be The Fastest Growing Used Car Dealer In The United States.","$5,587",41.80%,-$171.10,-,"$3,035","$45,475"
484,Franklin Resources,"11,800",9,Holding Company,"Franklin Resources, Inc. Is A Holding Company, Which Engages In The Provision Of Investment Management And Related Services.","$5,567",-3.60%,$798.90,-33.20%,"$20,221","$14,960"
485,Electronic Arts,"9,800",65,Video Game Company,"Electronic Arts Inc. Is An American Video Game Company Headquartered In Redwood City, California. ","$5,537",11.90%,"$3,039.00",198.20%,"$11,112","$38,936"
486,MDU Resources Group,"12,994",38,Construction Company,"Mdu Resources Group, Inc. Is A U.s.-based Corporation Supplying Products And Services Through Its Regulated Energy Delivery And Utilities Related Construction Materials And Services Businesses.","$5,533",3.70%,$390.20,16.30%,"$8,053","$6,360"
487,Select Medical Holdings,"42,350",28,Medical,"Select Medical Holdings Corporation Is An Operator Of Specialty Hospitals, Outpatient Rehabilitation Clinics And Occupational Medicine Centers In The United States.","$5,532",1.40%,$259.00,74.50%,"$7,655","$4,598"
488,Roper Technologies,"18,400",30,Conglomerate,"Roper Technologies, Inc. Is An American Diversified Industrial Company That Produces Engineered Products For Global Niche Markets.","$5,527",3.00%,$949.70,-46.30%,"$24,025","$42,326"
489,RPM International,"14,621",19,Chemicals,"Rpm International Inc. Owns Subsidiaries That Are World Leaders In Specialty Coatings, Sealants, Building Materials And Related Services.","$5,507",-1.00%,$304.40,14.20%,"$5,631","$11,950"
490,Cerner,"26,400",8,Information Technology Company,"Cerner Corporation Is An American Supplier Of Health Information Technology Services, Devices, And Hardware.","$5,506",-3.30%,$780.10,47.30%,"$7,521","$22,016"
491,Patterson,"7,800",16,Dental Equipment,Patterson Companies Inc Is A Medical Supplies Conglomerate Primarily In The Business Of Veterinary And Dental Products.,"$5,490",-1.50%,-$588.40,-803.60%,"$2,715","$3,088"
492,Commercial Metals,"11,297",-1,Materials,"Commercial Metals Company, Recycles And Markets Steel And Metal Products, Related Materials And Services. ","$5,477",-6.00%,$279.50,41.10%,"$4,082","$3,717"
493,Boise Cascade,"6,040",86,Building Materials,Boise Cascade Company Manufactures And Markets Wood Products.,"$5,475",17.90%,$175.00,116.20%,"$1,966","$2,353"
494,Hasbro,"6,822",80,Toy Company,"Hasbro, Inc Is An American Multinational Conglomerate With Toy, Board Game, And Media Assets, Headquartered In Pawtucket, Rhode Island.","$5,465",15.80%,$222.50,-57.20%,"$10,818","$13,202"
495,A-Mark Precious Metals,218,70,Metals Trading Company,A Mark Coin Company -- Is A Precious Metals Trading Company.,"$5,461",14.20%,$30.50,1271.20%,$758,$360
496,Camping World Holdings,"11,427",59,Retail Company,"Camping World Holdings, Inc. Is An American Corporation Specializing In Selling Recreational Vehicles, Recreational Vehicle Parts, And Recreational Vehicle Service. They Also Sell Supplies For Camping.","$5,447",11.30%,$122.30,-,"$3,256","$3,453"
497,NetApp,"10,800",-19,Information Technology & Services,Netapp Creates Storage And Data Management Solutions That Are Designed To Help Customers Accelerate Business Breakthroughs And Achieve Outstanding Cost Efficiency.,"$5,412",-11.90%,$819.00,-29.90%,"$7,522","$16,176"
498,Avis Budget Group,"17,500",-153,Car Rental Company,"Avis Budget Group, Inc. Is The American Parent Company Of Avis Car Rental, Budget Car Rental, Budget Truck Rental, And Zipcar, Consisting Of Its Global Brands.","$5,402",-41.10%,-$684.00,-326.50%,"$17,538","$5,068"
499,R.R. Donnelley & Sons,"33,000",-28,Printing Company,"Donnelley Is An American Fortune 500 Integrated Communications Company That Provides Marketing And Business Communications, Commercial Printing, And Related Services.","$5,399",-14.00%,$98.50,-,"$3,131",$290
500,Moody's,"11,490",61,Bond Credit Rating Company,Moody's Is A Global Integrated Risk Assessment Firm That Empowers Organizations To Make Better Decisions.,"$5,371",11.20%,"$1,778.00",25.00%,"$12,409","$55,885"
